# t	T1	T2
# s	°C	°C

0	20.1	19.6
60	20.5	19.5
120	21.5	19.1
180	22.6	18.0
240	23.7	17.1
300	24.9	16.1
360	26.1	15.2
420	27.3	14.4
480	28.5	13.7
540	29.5	13.0
600	30.7	12.3
660	31.7	11.6
720	32.7	10.9
780	33.7	10.2
840	34.6	9.5
900	35.6	8.8
960	36.4	8.2
1020	37.3	7.6
1080	38.2	7.0
1140	39.0	6.5
1200	39.7	6.0
1260	40.5	5.5
1320	41.3	5.0
1380	42.0	4.6
1440	42.7	4.2
1500	43.3	3.8
1560	44.0	3.5
1620	44.7	3.1
1680	45.3	2.8
1740	45.9	2.5
1800	46.5	2.2
1860	47.1	1.9
1920	47.7	1.7
1980	48.2	1.4
2040	48.8	1.2
2100	49.3	1.0
2160	49.8	0.9
