# x	I
# mm	muA

18.55	0.050
18.80	0.032
19.05	0.048
19.30	0.080
19.55	0.170
19.80	0.240
20.05	0.280
20.30	0.240
20.55	0.190
20.80	0.100
21.05	0.050
21.30	0.023
21.55	0.040
21.80	0.120
22.05	0.360
22.30	0.660
22.55	1.200
22.80	1.500
23.05	1.600
23.30	1.400
23.55	0.850
23.80	0.500
24.05	0.820
24.30	1.700
24.55	3.600
24.80	5.200
25.05	6.800
25.30	6.600
25.55	5.600
25.80	3.600
26.05	1.900
26.30	0.800
26.55	0.550
26.80	0.900
27.05	1.550
27.30	1.800
27.55	1.700
27.80	1.300
28.05	0.820
28.30	0.420
28.55	0.170
28.80	0.060
29.05	0.038
29.30	0.064
29.55	0.095
29.80	0.140
30.05	0.220
30.30	0.240
30.55	0.200
30.80	0.130
31.05	0.083
31.30	0.042
