# x	I
# mm	muA
21.6	0.038
21.8	0.058
22.0	0.082
22.2	0.100
22.4	0.140
22.6	0.250
22.8	0.500
23.0	0.800
23.2	0.900
23.4	0.850
23.6	0.750
23.8	0.900
24.0	1.500
24.2	2.250
24.3	2.400
24.4	2.500
24.5	2.250
24.6	2.400
24.7	1.750
24.8	1.800
24.9	1.750
25.0	1.600
25.1	2.200
25.2	2.050
25.3	3.000
25.4	2.600
25.5	3.200
25.6	3.200
25.8	3.200
25.9	2.000
26.0	2.400
26.1	1.500
26.2	1.600
26.3	1.550
26.4	1.700
26.5	1.950
26.6	2.000
26.7	2.200
26.8	2.000
26.9	1.950
27.0	1.600
27.1	1.350
27.2	1.100
27.4	0.650
27.6	0.500
27.8	0.500
28.0	0.500
28.2	0.460
28.4	0.300
28.6	0.175
28.8	0.055
