U	I_{2,0}	I_{2,1}	I_{2,3}	I_{2,4}	I_{2,5}
V	mA	mA	mA	mA	mA
5	0.003	0.004	0.007	0.038	0.040
10	0.019	0.030	0.042	0.085	0.105
15	0.040	0.065	0.105	0.160	0.170
20	0.061	0.102	0.206	0.249	0.280
25	0.071	0.143	0.286	0.345	0.363
30	0.078	0.175	0.362	0.435	0.482
35	0.080	0.183	0.418	0.531	0.610
40	0.081	0.189	0.485	0.624	0.722
45	0.083	0.194	0.534	0.720	0.846
50	0.083	0.196	0.572	0.804	0.965
55	0.084	0.198	0.606	0.887	1.103
60	0.085	0.200	0.625	0.957	1.215
65	0.086	0.201	0.638	1.015	1.343
70	0.086	0.202	0.649	1.069	1.473
75	0.086	0.203	0.657	1.120	1.574
80	0.087	0.204	0.664	1.163	1.673
85	0.087	0.205	0.669	1.199	1.783
90	0.087	0.206	0.673	1.230	1.872
95	0.088	0.206	0.677	1.250	1.970
100	0.088	0.207	0.680	1.266	2.020
105		0	    0   0.682	1.284	2.100
110		0	    0   0.685	1.297	2.160
