# Zählrohrwinkel	Rate bei 35kV mit Zr
# 2*theta/°	R(35kV)/Imp/s

16.0	152.0
16.2	145.0
16.4	142.0
16.6	141.0
16.7	145.0
17.0	137.0
17.2	139.0
17.4	130.0
17.6	132.0
17.7	120.0
18.0	131.0
18.2	124.0
18.4	122.0
18.6	128.0
18.8	138.0
19.0	186.0
19.2	222.0
19.4	259.0
19.6	306.0
19.8	307.0
20.0	305.0
20.2	312.0
20.4	316.0
20.6	310.0
20.8	308.0
21.0	309.0
21.2	312.0
21.4	308.0
21.6	303.0
21.7	298.0
22.0	296.0
22.2	289.0
22.4	280.0
22.6	279.0
22.8	275.0
23.0	273.0
23.2	265.0
23.4	265.0
23.6	255.0
23.8	256.0
24.0	254.0
