2\vartheta	Rate
° \frac{Imp}{s}

26.0	44.0
26.1	51.0
26.2	64.0
26.3	82.0
26.4	103.0
26.5	120.0
26.6	138.0
26.7	167.0
26.8	187.0
26.9	212.0
27.0	226.0
27.1	227.0
27.2	246.0
27.3	265.0
27.4	263.0
27.5	276.0
27.6	300.0
27.7	291.0
27.8	291.0
27.9	283.0
28.0	270.0
28.1	257.0
28.2	245.0
28.3	247.0
28.4	232.0
28.5	213.0
28.6	217.0
28.7	213.0
28.8	206.0
28.9	195.0
29.0	173.0
29.1	171.0
29.2	150.0
29.3	137.0
29.4	114.0
29.5	100.0
29.6	91.0
29.7	85.0
29.8	77.0
29.9	74.0
30.0	54.0
