2\vartheta	Rate
° \frac{Imp}{s}

18.0	17.0
18.2	15.0
18.4	16.0
18.6	14.0
18.8	13.0
19.0	13.0
19.2	14.0
19.4	13.0
19.6	13.0
19.8	13.0
20.0	11.0
20.2	12.0
20.4	12.0
20.6	12.0
20.8	13.0
21.0	14.0
21.2	14.0
21.4	13.0
21.6	13.0
21.7	12.0
22.0	14.0
22.2	11.0
22.4	12.0
22.6	12.0
22.8	13.0
23.0	12.0
23.2	11.0
23.4	11.0
23.6	12.0
23.8	12.0
24.0	11.0
24.2	10.0
24.4	9.0
24.6	12.0
24.8	11.0
25.0	12.0
25.2	11.0
25.4	13.0
25.6	13.0
25.8	17.0
26.0	22.0
26.2	28.0
26.4	30.0
26.6	33.0
26.8	31.0
27.0	27.0
27.2	27.0
27.4	24.0
27.6	23.0
27.8	22.0
28.0	20.0
28.2	21.0
28.4	20.0
28.6	19.0
28.8	18.0
29.0	17.0
29.2	18.0
29.4	18.0
29.6	16.0
29.8	16.0
30.0	16.0
30.2	13.0
30.4	14.0
30.6	12.0
30.8	12.0
31.0	12.0
31.2	12.0
31.4	11.0
31.6	11.0
31.8	11.0
32.0	10.0
32.2	11.0
32.4	11.0
32.5	8.0
32.8	9.0
33.0	9.0
33.2	8.0
33.4	8.0
33.6	8.0
33.8	8.0
