2\vartheta	Rate
° \frac{Imp}{s}

8.0	43.0
8.4	43.0
8.8	38.0
9.2	38.0
9.6	59.0
10.0	71.0
10.4	93.0
10.8	124.0
11.2	143.0
11.6	169.0
12.0	191.0
12.4	202.0
12.8	231.0
13.2	271.0
13.6	274.0
14.0	278.0
14.4	298.0
14.8	312.0
15.2	320.0
15.6	333.0
16.0	348.0
16.4	343.0
16.7	361.0
17.2	362.0
17.6	375.0
18.0	380.0
18.4	395.0
18.8	387.0
19.2	404.0
19.6	401.0
20.0	420.0
20.4	388.0
20.8	420.0
21.2	400.0
21.6	418.0
22.0	422.0
22.4	417.0
22.8	399.0
23.2	390.0
23.6	390.0
24.0	377.0
24.4	379.0
24.8	380.0
25.2	371.0
25.6	358.0
26.0	348.0
26.4	325.0
26.8	303.0
27.2	280.0
27.6	274.0
28.0	279.0
28.4	269.0
28.8	255.0
29.2	264.0
29.6	258.0
30.0	252.0
30.4	241.0
30.8	235.0
31.2	231.0
31.6	228.0
32.0	224.0
32.4	202.0
32.8	221.0
33.2	214.0
33.6	200.0
34.0	205.0
34.4	189.0
34.8	185.0
35.2	188.0
35.5	168.0
36.0	173.0
36.4	173.0
36.8	160.0
37.2	154.0
37.5	148.0
38.0	146.0
38.4	147.0
38.8	134.0
39.2	163.0
39.5	424.0
40.0	1285.0
40.4	1510.0
40.8	293.0
41.2	192.0
41.5	175.0
42.0	168.0
42.4	173.0
42.8	178.0
43.2	174.0
43.6	192.0
44.0	463.0
44.4	4445.0
44.8	4100.0
45.2	3278.0
45.5	239.0
46.0	150.0
46.4	129.0
46.8	118.0
47.2	108.0
47.6	103.0
48.0	100.0
48.4	91.0
48.8	98.0
49.2	86.0
49.6	84.0
50.0	77.0
50.4	76.0
50.8	73.0
51.2	73.0
51.6	71.0
52.0	68.0
